# Mt.富士ヒルクライム 計測区間 距離-標高プロファイル
# 出典: fuji_hillclimb_course.fit(scripts/build_course.py, anchor=auto)
# 距離 24.03 km / 標高差 1236 m / 平均勾配 5.14 %
# start_latlon: 35.451214,138.758256
# finish_latlon: 35.394138,138.731952
# distance_m: 計測スタートからの累積距離 [m] / elevation_m: 標高 [m]
distance_m,elevation_m
0,1055.4
100,1061.0
200,1068.3
300,1075.2
400,1081.7
500,1087.5
600,1093.4
700,1100.0
800,1106.6
900,1112.0
1000,1118.8
1100,1124.8
1200,1130.7
1300,1137.0
1400,1145.4
1500,1152.6
1600,1160.9
1700,1168.8
1800,1176.6
1900,1184.2
2000,1191.1
2100,1197.7
2200,1202.0
2300,1206.1
2400,1215.7
2500,1223.4
2600,1230.8
2700,1238.5
2800,1246.0
2900,1253.5
3000,1261.2
3100,1269.1
3200,1276.4
3300,1284.1
3400,1287.9
3500,1295.2
3600,1301.5
3700,1303.5
3800,1307.4
3900,1315.9
4000,1322.4
4100,1328.2
4200,1334.3
4300,1338.5
4400,1347.6
4500,1354.9
4600,1362.1
4700,1363.9
4800,1367.7
4900,1370.7
5000,1373.7
5100,1379.6
5200,1386.1
5300,1395.5
5400,1397.6
5500,1402.2
5600,1408.8
5700,1414.9
5800,1421.1
5900,1425.4
6000,1426.2
6100,1433.3
6200,1437.1
6300,1442.8
6400,1450.1
6500,1453.2
6600,1456.3
6700,1467.3
6800,1475.5
6900,1476.1
7000,1484.0
7100,1485.1
7200,1487.9
7300,1492.3
7400,1495.9
7500,1496.6
7600,1502.1
7700,1507.9
7800,1514.5
7900,1518.2
8000,1525.1
8100,1532.6
8200,1537.5
8300,1546.2
8400,1548.5
8500,1555.2
8600,1560.3
8700,1570.8
8800,1580.8
8900,1587.0
9000,1590.0
9100,1595.5
9200,1605.7
9300,1609.4
9400,1614.5
9500,1616.8
9600,1617.3
9700,1623.0
9800,1626.5
9900,1627.9
10000,1635.6
10100,1642.0
10200,1650.1
10300,1655.4
10400,1658.9
10500,1664.0
10600,1666.4
10700,1673.7
10800,1678.5
10900,1685.9
11000,1690.8
11100,1694.7
11200,1698.3
11300,1703.9
11400,1703.7
11500,1711.1
11600,1718.9
11700,1726.1
11800,1732.9
11900,1737.0
12000,1744.3
12100,1747.8
12200,1756.0
12300,1762.6
12400,1766.1
12500,1772.2
12600,1776.4
12700,1781.8
12800,1788.5
12900,1792.9
13000,1794.6
13100,1800.8
13200,1806.8
13300,1813.1
13400,1819.2
13500,1826.3
13600,1835.5
13700,1835.0
13800,1843.2
13900,1847.1
14000,1854.8
14100,1857.0
14200,1863.1
14300,1870.2
14400,1874.8
14500,1881.1
14600,1885.1
14700,1888.9
14800,1894.0
14900,1900.6
15000,1903.1
15100,1909.0
15200,1912.8
15300,1917.8
15400,1922.2
15500,1929.1
15600,1938.4
15700,1943.2
15800,1947.4
15900,1952.9
16000,1956.1
16100,1960.7
16200,1964.1
16300,1969.1
16400,1976.7
16500,1984.5
16600,1984.9
16700,1994.3
16800,1999.3
16900,2002.8
17000,2009.0
17100,2016.7
17200,2026.8
17300,2025.3
17400,2027.1
17500,2030.6
17600,2034.6
17700,2041.3
17800,2049.1
17900,2054.8
18000,2060.3
18100,2066.6
18200,2071.5
18300,2078.1
18400,2084.9
18500,2091.5
18600,2093.2
18700,2100.4
18800,2104.6
18900,2105.2
19000,2110.2
19100,2117.0
19200,2117.9
19300,2123.6
19400,2130.4
19500,2138.0
19600,2145.4
19700,2150.3
19800,2154.5
19900,2156.7
20000,2162.2
20100,2166.4
20200,2178.8
20300,2183.6
20400,2186.6
20500,2185.1
20600,2187.3
20700,2194.9
20800,2195.8
20900,2202.8
21000,2206.5
21100,2212.2
21200,2214.4
21300,2219.1
21400,2227.6
21500,2233.0
21600,2237.5
21700,2243.6
21800,2244.8
21900,2243.0
22000,2243.8
22100,2242.7
22200,2244.2
22300,2244.7
22400,2246.0
22500,2244.6
22600,2244.0
22700,2246.9
22800,2244.5
22900,2245.1
23000,2249.6
23100,2252.5
23200,2250.8
23300,2251.3
23400,2257.8
23500,2264.0
23600,2267.8
23700,2275.1
23800,2281.3
23900,2287.4
24000,2291.4
24026,2291.4
